date,price,type,bedrooms
2011-11-15,530000,house,2
2011-11-17,350000,house,4
2011-11-17,370000,house,3
2011-11-17,379000,house,3
2011-11-17,385000,house,3
2011-11-17,438000,house,3
2011-11-17,460000,house,4
2011-11-17,635000,house,4
2011-11-17,830000,house,4
2011-11-17,950000,house,4
2011-11-18,455000,house,4
2011-11-18,540000,house,4
2011-11-18,635000,house,3
2011-11-18,950000,house,3
2011-11-19,348000,house,3
2011-11-19,460000,house,4
2011-11-19,497000,house,4
2011-11-19,515000,house,4
2011-11-20,450000,house,3
2011-11-20,475000,house,4
2011-11-20,665000,house,4
2011-11-21,350000,house,3
2011-11-21,392500,house,3
2011-11-21,450000,house,4
2011-11-21,454000,house,3
2011-11-21,475000,house,3
2011-11-21,500000,house,4
2011-11-21,730000,house,3
2011-11-22,510000,house,4
2011-11-22,640000,house,3
2011-11-22,805000,house,4
2011-11-24,387000,house,4
2011-11-24,389950,house,3
2011-11-24,393000,house,4
2011-11-24,395000,house,3
2011-11-24,468500,house,4
2011-11-24,480000,house,3
2011-11-24,485000,house,4
2011-11-24,485000,house,4
2011-11-24,500000,house,4
2011-11-24,547500,house,4
2011-11-24,565000,house,5
2011-11-24,630000,house,3
2011-11-25,490000,house,4
2011-11-25,540000,house,5
2011-11-25,630000,house,2
2011-11-25,735000,house,5
2011-11-26,326000,house,3
2011-11-26,375000,house,2
2011-11-26,453000,house,4
2011-11-26,462500,house,4
2011-11-26,580000,house,5
2011-11-27,327500,house,3
2011-11-27,390000,house,3
2011-11-28,322500,house,3
2011-11-28,335000,house,3
2011-11-28,337500,house,3
2011-11-28,345000,house,3
2011-11-28,345000,house,3
2011-11-28,351000,house,3
2011-11-28,470000,house,3
2011-11-28,540000,house,3
2011-11-28,544000,house,4
2011-11-28,1095000,house,4
2011-11-28,1250000,house,3
2011-11-29,375000,house,3
2011-11-29,395000,house,3
2011-12-01,327500,house,3
2011-12-01,400000,house,3
2011-12-01,450000,house,3
2011-12-01,507500,house,3
2011-12-01,940000,house,4
2011-12-01,1050000,house,4
2011-12-02,320000,house,3
2011-12-02,349750,house,3
2011-12-02,360000,house,4
2011-12-02,410000,house,4
2011-12-02,422500,house,4
2011-12-02,464000,house,4
2011-12-02,529000,house,3
2011-12-02,557500,house,3
2011-12-03,301000,house,3
2011-12-03,320000,house,3
2011-12-03,371000,house,4
2011-12-03,374950,house,3
2011-12-03,385150,house,3
2011-12-03,399950,house,4
2011-12-03,490000,house,5
2011-12-03,512500,house,3
2011-12-03,575000,house,4
2011-12-04,340000,house,3
2011-12-04,360000,house,3
2011-12-04,420000,house,3
2011-12-04,463000,house,4
2011-12-04,470000,house,4
2011-12-04,570000,house,4
2011-12-04,680000,house,4
2011-12-05,299000,house,3
2011-12-05,309000,house,3
2011-12-05,333000,house,2
2011-12-05,430000,house,3
2011-12-05,445000,house,3
2011-12-05,455000,house,4
2011-12-05,493000,house,5
2011-12-05,505000,house,3
2011-12-05,650000,house,3
2011-12-06,378250,house,3
2011-12-06,595000,house,3
2011-12-06,600000,house,4
2011-12-06,672000,house,4
2011-12-08,314000,house,3
2011-12-08,350000,house,3
2011-12-08,355000,house,3
2011-12-08,365000,house,3
2011-12-08,431000,house,4
2011-12-08,470000,house,4
2011-12-08,525000,house,4
2011-12-08,610000,house,4
2011-12-08,855000,house,4
2011-12-09,490000,house,4
2011-12-09,540000,house,4
2011-12-09,695000,house,4
2011-12-10,335000,house,3
2011-12-10,340000,house,3
2011-12-10,385000,house,3
2011-12-10,392000,house,3
2011-12-10,420000,house,3
2011-12-10,435000,house,2
2011-12-10,435000,house,4
2011-12-10,440000,house,3
2011-12-10,480000,house,4
2011-12-10,600000,house,4
2011-12-11,520000,house,4
2011-12-12,351000,house,4
2011-12-12,355000,house,2
2011-12-12,455000,house,3
2011-12-12,470000,house,4
2011-12-12,525000,house,5
2011-12-12,665000,house,3
2011-12-12,805000,house,4
2011-12-13,775000,house,4
2011-12-15,360000,house,3
2011-12-15,373500,house,3
2011-12-15,398000,house,3
2011-12-15,405000,house,3
2011-12-15,472000,house,4
2011-12-15,505000,house,4
2011-12-15,530000,house,4
2011-12-15,625000,house,2
2011-12-16,362500,house,3
2011-12-16,413000,house,3
2011-12-16,420000,house,4
2011-12-16,520000,house,4
2011-12-16,585000,house,4
2011-12-17,378500,house,3
2011-12-17,600000,house,4
2011-12-17,720000,house,4
2011-12-18,416500,house,3
2011-12-18,420000,house,4
2011-12-18,431600,house,4
2011-12-19,339950,house,3
2011-12-19,350000,house,3
2011-12-19,380000,house,3
2011-12-19,428250,house,3
2011-12-19,439000,house,3
2011-12-19,472000,house,4
2011-12-19,499000,house,4
2011-12-19,527000,house,5
2011-12-19,550000,house,4
2011-12-19,716000,house,3
2011-12-19,900000,house,4
2011-12-20,495000,house,3
2011-12-20,540000,house,3
2011-12-20,1375000,house,4
2011-12-20,3500000,house,5
2011-12-22,379000,house,3
2011-12-22,390000,house,4
2011-12-22,399500,house,3
2011-12-22,456000,house,3
2011-12-22,490000,house,4
2011-12-22,585000,house,4
2011-12-22,630000,house,4
2011-12-22,855000,house,3
2011-12-23,355000,house,3
2011-12-23,361500,house,3
2011-12-23,381000,house,3
2011-12-23,390000,house,3
2011-12-23,395000,house,3
2011-12-23,444000,house,4
2011-12-23,450000,house,4
2011-12-23,452000,house,4
2011-12-23,480000,house,4
2011-12-23,500000,house,3
2011-12-23,571000,house,3
2011-12-24,310000,house,2
2011-12-24,369950,house,3
2011-12-24,385000,house,3
2011-12-24,394000,house,3
2011-12-24,400000,house,4
2011-12-24,400000,house,3
2011-12-24,400000,house,3
2011-12-24,400000,house,3
2011-12-24,499000,house,4
2011-12-24,1057500,house,4
2012-01-06,342500,house,3
2012-01-06,450000,house,4
2012-01-07,420000,house,3
2012-01-08,394000,house,3
2012-01-08,410000,house,4
2012-01-08,411500,house,3
2012-01-08,560000,house,4
2012-01-09,383000,house,3
2012-01-09,385000,house,3
2012-01-09,420000,house,2
2012-01-10,585000,house,4
2012-01-10,590000,house,4
2012-01-12,340500,house,3
2012-01-12,410000,house,3
2012-01-12,418000,house,3
2012-01-12,470000,house,4
2012-01-12,609950,house,4
2012-01-12,630000,house,4
2012-01-12,750000,house,5
2012-01-13,420000,house,3
2012-01-13,515000,house,4
2012-01-13,637000,house,4
2012-01-14,315000,house,3
2012-01-14,400000,house,3
2012-01-14,439000,house,4
2012-01-15,330000,house,3
2012-01-15,350000,house,3
2012-01-15,440000,house,3
2012-01-15,462500,house,4
2012-01-15,465000,house,2
2012-01-15,589000,house,3
2012-01-15,640000,house,4
2012-01-16,319950,house,3
2012-01-16,456000,house,3
2012-01-16,585000,house,4
2012-01-19,400000,house,3
2012-01-19,615000,house,4
2012-01-19,688889,house,4
2012-01-20,392000,house,3
2012-01-20,425000,house,3
2012-01-20,465000,house,4
2012-01-20,500000,house,3
2012-01-20,1150000,house,4
2012-01-21,570000,house,4
2012-01-22,308000,house,3
2012-01-22,512000,house,4
2012-01-22,575000,house,3
2012-01-23,315000,house,3
2012-01-23,317500,house,3
2012-01-23,335000,house,3
2012-01-23,360000,house,3
2012-01-23,380000,house,4
2012-01-23,394000,house,3
2012-01-23,570000,house,4
2012-01-23,890000,house,3
2012-01-27,327000,house,3
2012-01-27,350500,house,3
2012-01-27,475000,house,4
2012-01-27,750000,house,5
2012-01-27,2100000,house,4
2012-01-28,325000,house,3
2012-01-28,365000,house,3
2012-01-28,441000,house,4
2012-01-28,450000,house,3
2012-01-28,620000,house,4
2012-01-29,341000,house,3
2012-01-29,395000,house,3
2012-01-29,550000,house,3
2012-01-29,612000,house,4
2012-01-30,450000,house,3
2012-01-30,467500,house,3
2012-01-30,476000,house,3
2012-01-30,525000,house,4
2012-01-30,601000,house,4
2012-01-31,440000,house,3
2012-01-31,495000,house,3
2012-02-02,500000,house,5
2012-02-02,622500,house,4
2012-02-03,335000,house,2
2012-02-03,339000,house,3
2012-02-03,362000,house,3
2012-02-03,390000,house,4
2012-02-03,412000,house,3
2012-02-03,420000,house,4
2012-02-03,485000,house,2
2012-02-03,605000,house,3
2012-02-04,370000,house,3
